ID,NAME,ST_ABBREV,TOTPOP_CY,MEDAGE_CY,MALES_CY,FEMALES_CY,MEDMAGE_CY,MEDFAGE_CY
36421,Andalusia,AL,8843,44.6,4429,4414,42.9,46.1
36425,Beatrice,AL,1143,43.7,547,596,41.3,45.7
35824,Huntsville,AL,8058,33,4042,4016,33,33
35620,Elkmont,AL,9254,39.7,4669,4585,38.9,40.6
36080,Titus,AL,2306,49.5,1148,1158,49.6,49.4
35476,Northport,AL,8877,36.5,3974,4903,33.3,39.8
35405,Tuscaloosa,AL,38878,33.9,18509,20369,32.3,35.4
36513,Calvert,AL,133,42.5,70,63,41.7,43.1
35983,Leesburg,AL,3664,43.9,1825,1839,43.5,44.3
36027,Eufaula,AL,15798,41.2,7451,8347,38.7,43.2
35634,Florence,AL,10342,47.2,5069,5273,45.9,48.5
35459,Emelle,AL,796,43.8,374,422,41.4,45.6
35080,Helena,AL,18155,35.1,8726,9429,34.1,36
35044,Childersburg,AL,7406,39.8,3450,3956,39.2,40.2
36559,Montrose,AL,38,45,18,20,45,45
35763,Owens Cross Roads,AL,17229,41.9,8548,8681,41.1,42.7
35633,Florence,AL,21799,44,10672,11127,42.7,45.2
36375,Slocomb,AL,7621,42.5,3761,3860,41.6,43.3
35802,Huntsville,AL,22201,48.5,10582,11619,46,50.7
35741,Brownsboro,AL,3186,42.9,1574,1612,42.9,43
35083,Holly Pond,AL,3059,42.1,1524,1535,41,43.3
35111,Mc Calla,AL,16121,40.8,7927,8194,40.1,41.5
36266,Lineville,AL,5536,44.1,2718,2818,41.9,45.9
35619,Danville,AL,5049,42.1,2556,2493,41.1,43.1
35228,Birmingham,AL,10543,39.2,4743,5800,36,42.1
36612,Mobile,AL,4442,37.2,2035,2407,34.5,39.5
36607,Mobile,AL,7283,40.3,3310,3973,37.4,42.9
35180,Warrior,AL,14378,40.7,7069,7309,40,41.4
36581,Sunflower,AL,264,43.7,125,139,42.2,45.3
36750,Maplesville,AL,2705,41.3,1392,1313,40.3,42.2
35208,Birmingham,AL,15122,37.5,6918,8204,34.2,40.3
35461,Ethelsville,AL,1795,47.7,880,915,47.1,48.4
36540,Gainestown,AL,1039,38.8,498,541,37.8,39.5
