zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
99599,AK,Anchorage,Anchorage,61.1508,-149.1091,America/Anchorage,0.06201,0.37857,,,,,0.02521,0.18869,0.51795,0.51198,0.0,,0.0,0.41176,0.34006,0.0,0.18,0.0,0.92444,0.74087
99707,AK,Fairbanks,Fairbanks North Star,64.8353,-147.6534,America/Anchorage,0.00552,0.3174,,,,,,,,,0.0,,0.0,0.41176,0.34006,0.0,0.18,0.0,0.98624,0.47597
99654,AK,Wasilla,Matanuska-Susitna,61.577,-149.466,America/Anchorage,0.00579,0.40855,,,,,,,,,0.0,,0.0,0.41176,0.34006,0.0,0.18,0.0,0.9158,0.65251
36207,AL,Anniston,Calhoun,33.6712,-85.8136,America/Chicago,9e-05,0.47843,0.64247,,,0.64721,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.85868,0.83506
35904,AL,Gadsden,Etowah,34.009,-86.0156,America/Chicago,0.00503,0.51306,0.65624,0.47297,0.0,0.64456,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.86446,0.84026
36321,AL,Dothan,Houston,31.2335,-85.4069,America/Chicago,0.01042,0.44035,0.65302,,,0.7931,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.7779,0.51273
35298,AL,Birmingham,Jefferson,33.5277,-86.7987,America/Chicago,0.14444,0.41402,0.6704,0.62162,0.0,0.66844,0.29412,0.08609,0.39251,0.16199,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.99296,0.98979
35022,AL,Bessemer,Jefferson,33.3709,-86.9713,America/Chicago,0.00747,0.45453,0.6704,0.62162,0.0,0.66844,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.95427,0.94192
35633,AL,Florence,Lauderdale,34.8303,-87.6654,America/Chicago,0.00455,0.51246,0.65058,,,0.60743,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.86476,0.8857
36849,AL,Auburn,Lee,32.6087,-85.4899,America/Chicago,0.00499,0.18675,0.62909,,,0.70027,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.85275,0.68688
35613,AL,Athens,Limestone,34.7847,-86.951,America/Chicago,0.0013,0.46384,0.64723,,,0.61804,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.96478,0.86957
35899,AL,Huntsville,Madison,34.6988,-86.6412,America/Chicago,0.04846,0.35143,0.65547,0.54054,0.0,0.61804,0.88235,0.10226,0.18796,0.59845,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.97939,0.83568
35758,AL,Madison,Madison,34.7114,-86.7626,America/Chicago,0.00776,0.41199,0.65547,0.54054,0.0,0.61804,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.98871,0.8538
36695,AL,Mobile,Mobile,30.6783,-88.1162,America/Chicago,0.07073,0.40916,0.75997,0.47297,0.0,0.7931,0.52941,0.05452,0.31166,0.29389,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.9824,0.87344
36191,AL,Montgomery,Montgomery,32.3473,-86.2666,America/Chicago,0.05138,0.32226,0.62664,0.68919,0.33333,0.7374,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.981,0.71625
35609,AL,Decatur,Morgan,34.573,-86.9906,America/Chicago,0.00457,0.44399,0.65006,0.45946,0.0,0.62599,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.96804,0.90759
36869,AL,Phenix City,Russell,32.4588,-85.0251,America/Chicago,0.00463,0.37958,0.59781,0.48649,0.0,0.7321,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.7902,0.64788
35487,AL,Tuscaloosa,Tuscaloosa,33.2348,-87.5267,America/Chicago,0.02212,0.25501,0.66885,0.44595,0.0,0.70027,,,,,0.34483,0.20192,0.55172,0.05882,0.0,0.3,0.04,0.42857,0.87069,0.83395
72712,AR,Bentonville,Benton,36.3546,-94.2306,America/Chicago,0.00142,0.31942,0.53912,,,0.54907,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.85225,0.72128
72758,AR,Rogers,Benton,36.3172,-94.1526,America/Chicago,0.01091,0.36095,0.53912,,,0.54907,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.84246,0.73764
72467,AR,Jonesboro,Craighead,35.8212,-90.6791,America/Chicago,0.01199,0.33765,0.57992,,,0.60743,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.82663,0.61812
72035,AR,Conway,Faulkner,35.0754,-92.4694,America/Chicago,0.01052,0.28702,0.60296,,,0.6366,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.92958,0.84101
71612,AR,Pine Bluff,Jefferson,34.2116,-92.0178,America/Chicago,4e-05,0.37006,0.6148,,,0.67639,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.90324,0.80082
72214,AR,North Little Rock,Pulaski,34.7808,-92.2371,America/Chicago,0.00631,0.45513,0.60798,0.56757,0.0,0.65782,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.99279,0.84456
72295,AR,Little Rock,Pulaski,34.7256,-92.3576,America/Chicago,0.0545,0.43387,0.60798,0.56757,0.0,0.65782,0.97479,0.05475,0.38248,0.72393,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.9824,0.87045
72158,AR,Benton,Saline,34.5775,-92.5712,America/Chicago,0.0017,0.43184,0.6269,,,0.65252,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,0.94356,0.91831
72923,AR,Fort Smith,Sebastian,35.3493,-94.3695,America/Chicago,0.01366,0.28459,0.5399,,,0.6313,,,,,0.34483,0.28846,0.89655,0.15385,0.02714,0.3625,0.1,0.73469,1.0,0.69307
