zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
99599,AK,Anchorage,Anchorage,61.15080,-149.10910,America/Anchorage,249573,36.12,,,,,5,37.63,75.02,107.68,0.00,,0.00,1.19,"$3,231.00",25.00,42,51,47.63840,129.00650
99707,AK,Fairbanks,Fairbanks North Star,64.83530,-147.65340,America/Anchorage,67808,33.10,,,,,,,,,0.00,,0.00,1.19,"$3,231.00",25.00,42,51,9.84280,256.52200
99654,AK,Wasilla,Matanuska-Susitna,61.57700,-149.46600,America/Anchorage,68659,37.60,,,,,,,,,0.00,,0.00,1.19,"$3,231.00",25.00,42,51,52.92590,171.54140
36207,AL,Anniston,Calhoun,33.67120,-85.81360,America/Chicago,50338,41.05,53.310,,,61,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,87.86220,83.66600
35904,AL,Gadsden,Etowah,34.00900,-86.01560,America/Chicago,66205,42.76,54.380,35,1,60.9,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,84.32640,81.16020
36321,AL,Dothan,Houston,31.23350,-85.40690,America/Chicago,83555,39.17,54.130,,,66.5,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,137.26910,238.82690
35298,AL,Birmingham,Jefferson,33.52770,-86.79870,America/Chicago,514830,37.87,55.480,46,1,61.8,37,28.56,68.52,83.72,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,5.73290,9.18180
35022,AL,Bessemer,Jefferson,33.37090,-86.97130,America/Chicago,74077,39.87,55.480,46,1,61.8,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,29.39310,32.22460
35633,AL,Florence,Lauderdale,34.83030,-87.66540,America/Chicago,64665,42.73,53.940,,,59.5,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,84.14180,59.29040
36849,AL,Auburn,Lee,32.60870,-85.48990,America/Chicago,66093,26.65,52.270,,,63,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,91.48610,154.99450
35613,AL,Athens,Limestone,34.78470,-86.95100,America/Chicago,54215,40.33,53.680,,,59.9,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,22.96770,67.05450
35899,AL,Huntsville,Madison,34.69880,-86.64120,America/Chicago,205988,34.78,54.320,40,1,59.9,107,29.99,57.92,113.6,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,14.03120,83.36670
35758,AL,Madison,Madison,34.71140,-86.76260,America/Chicago,75002,37.77,54.320,40,1,59.9,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,8.32950,74.64520
36695,AL,Mobile,Mobile,30.67830,-88.11620,America/Chicago,277632,37.63,62.440,35,1,66.5,65,25.77,64.33,92.75,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,12.19080,65.18910
36191,AL,Montgomery,Montgomery,32.34730,-86.26660,America/Chicago,215364,33.34,52.080,51,2,64.4,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,13.04860,140.86060
35609,AL,Decatur,Morgan,34.57300,-86.99060,America/Chicago,64749,39.35,53.900,34,1,60.2,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,20.97530,48.75210
36869,AL,Phenix City,Russell,32.45880,-85.02510,America/Chicago,64924,36.17,49.840,36,1,64.2,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,129.74490,173.77030
35487,AL,Tuscaloosa,Tuscaloosa,33.23480,-87.52670,America/Chicago,121202,30.02,55.360,33,1,63,,,,,2.00,5.00,4.00,0.41,$587.00,27.40,49,30,80.51700,84.20100
72712,AR,Bentonville,Benton,36.35460,-94.23060,America/Chicago,54609,33.20,45.280,,,57.3,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,91.79660,138.43930
72758,AR,Rogers,Benton,36.31720,-94.15260,America/Chicago,85152,35.25,45.280,,,57.3,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,97.78240,130.56230
72467,AR,Jonesboro,Craighead,35.82120,-90.67910,America/Chicago,88624,34.10,48.450,,,59.5,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,107.46660,188.09820
72035,AR,Conway,Faulkner,35.07540,-92.46940,America/Chicago,83882,31.60,50.240,,,60.6,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,44.49500,80.80290
71612,AR,Pine Bluff,Jefferson,34.21160,-92.01780,America/Chicago,50160,35.70,51.160,,,62.1,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,60.60870,100.14660
72214,AR,North Little Rock,Pulaski,34.78080,-92.23710,America/Chicago,70350,39.90,50.630,42,1,61.4,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,5.83380,79.09150
72295,AR,Little Rock,Pulaski,34.72560,-92.35760,America/Chicago,225401,38.85,50.630,42,1,61.4,118,25.79,68,122.19,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,12.18960,66.63150
72158,AR,Benton,Saline,34.57750,-92.57120,America/Chicago,55498,38.75,52.100,,,61.2,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,35.94650,43.58880
72923,AR,Fort Smith,Sebastian,35.34930,-94.36950,America/Chicago,93992,31.48,45.340,,,60.4,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,1.42480,152.01680
72766,AR,Springdale,Washington,36.18990,-94.15740,America/Chicago,98251,32.80,47.060,40,1,57.3,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,96.75590,127.81470
72704,AR,Fayetteville,Washington,36.07130,-94.16600,America/Chicago,105310,30.50,47.060,40,1,57.3,,,,,2.00,5.90,6.50,0.62,$798.00,27.90,46,15,83.69430,127.00500
85671,AZ,Sierra Vista,Cochise,31.56300,-110.31530,America/Phoenix,50877,42.75,14.620,45,1,60.3,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,85.29900,30.67920
86011,AZ,Flagstaff,Coconino,35.18720,-111.61950,America/Phoenix,92458,31.17,13.590,45,1,51.7,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,198.21870,167.86500
85287,AZ,Tempe,Maricopa,33.38810,-111.93180,America/Phoenix,191097,31.10,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,9.04470,227.47720
85355,AZ,Glendale,Maricopa,33.57910,-112.23110,America/Phoenix,306833,34.82,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,25.92120,261.83480
85142,AZ,Queen Creek,Maricopa,33.23860,-111.63430,America/Phoenix,71644,31.20,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,41.28790,197.03280
85395,AZ,Goodyear,Maricopa,33.26130,-112.36220,America/Phoenix,88788,38.05,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,37.79110,246.41720
85392,AZ,Avondale,Maricopa,33.38580,-112.32360,America/Phoenix,84087,30.60,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,29.42110,252.77440
85383,AZ,Phoenix,Maricopa,33.57220,-112.08910,America/Phoenix,1460643,34.50,9.270,64,3,69.2,98,38.64,65.65,115.89,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,16.91830,252.50210
85396,AZ,Buckeye,Maricopa,33.43140,-112.64290,America/Phoenix,85789,35.05,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,58.54550,278.57880
85385,AZ,Peoria,Maricopa,33.78440,-112.29890,America/Phoenix,191863,39.63,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,47.13160,260.77510
85271,AZ,Scottsdale,Maricopa,33.68720,-111.86510,America/Phoenix,303038,48.05,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,31.24230,232.87790
85388,AZ,Surprise,Maricopa,33.68000,-112.45240,America/Phoenix,139763,42.84,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,49.10950,278.85950
85277,AZ,Mesa,Maricopa,33.40170,-111.71800,America/Phoenix,543661,39.98,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,27.52640,216.16080
85286,AZ,Chandler,Maricopa,33.28260,-111.85160,America/Phoenix,296784,39.08,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,22.50480,213.75060
85299,AZ,Gilbert,Maricopa,33.31010,-111.74630,America/Phoenix,265752,33.65,9.270,64,3,69.2,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,28.27520,209.74130
86409,AZ,Kingman,Mohave,35.21700,-114.01050,America/Phoenix,53457,47.10,10.570,19,1,61.4,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,140.88530,136.57470
86406,AZ,Lake Havasu City,Mohave,34.50060,-114.31130,America/Los_Angeles,59975,53.40,10.570,19,1,61.4,,,,,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,191.48880,130.62330
85775,AZ,Tucson,Pima,32.15450,-110.87820,America/Phoenix,923197,40.32,12.500,51,2,66.5,95,26.54,63.21,94.9,2.59,8.00,5.60,0.66,"$1,499.00",27.70,41,32,7.29380,61.21940
