"state","county","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL,"Autauga",65.8,117,1.9,63.9
AL,"Baldwin",68.7,117,1.9,66.8
AL,"Barbour",66.0,109,1.3,64.7
AL,"Bibb",64.0,106,1.2,62.8
AL,"Blount",62.6,116,2.0,60.6
AL,"Bullock",65.6,112,1.5,64.1
AL,"Butler",66.8,120,2.3,64.5
AL,"Calhoun",63.0,116,2.0,61
AL,"Chambers",63.0,112,1.4,61.6
AL,"Cherokee",62.2,114,1.6,60.6
AL,"Chilton",64.0,107,1.3,62.7
AL,"Choctaw",66.5,120,2.0,64.5
AL,"Clarke",66.8,120,2.0,64.8
AL,"Clay",62.3,114,1.6,60.7
AL,"Cleburne",62.1,119,2.2,59.9
AL,"Coffee",67.2,117,1.8,65.4
AL,"Colbert",61.4,109,1.4,60
AL,"Conecuh",68.0,123,2.6,65.4
AL,"Coosa",63.7,113,1.4,62.3
AL,"Covington",67.7,123,2.1,65.6
AL,"Crenshaw",66.2,117,1.8,64.4
AL,"Cullman",62.1,114,1.8,60.3
AL,"Dale",67.4,117,1.7,65.7
AL,"Dallas",66.3,120,2.0,64.3
AL,"DeKalb",60.4,100,1.1,59.3
AL,"Elmore",65.3,116,1.6,63.7
AL,"Escambia",68.3,125,2.3,66
AL,"Etowah",62.5,111,1.6,60.9
AL,"Fayette",63.4,106,1.4,62
AL,"Franklin",61.1,100,1.2,59.9
AL,"Geneva",68.1,119,2.0,66.1
AL,"Greene",65.0,101,1.1,63.9
AL,"Hale",64.8,99,1.1,63.7
AL,"Henry",67.2,115,1.6,65.6
AL,"Houston",68.5,120,2.0,66.5
AL,"Jackson",60.5,100,1.1,59.4
AL,"Jefferson",63.6,112,1.8,61.8
AL,"Lamar",63.4,105,1.3,62.1
AL,"Lauderdale",61.0,110,1.5,59.5
AL,"Lawrence",61.0,94,0.9,60.1
AL,"Lee",64.4,111,1.4,63
AL,"Limestone",61.3,108,1.4,59.9
AL,"Lowndes",66.8,119,2.2,64.6
AL,"Macon",65.4,113,1.3,64.1
AL,"Madison",61.1,102,1.2,59.9
AL,"Marengo",65.8,112,1.5,64.3
AL,"Marion",61.9,100,1.1,60.8
AL,"Marshall",61.7,108,1.4,60.3
AL,"Mobile",68.6,121,2.1,66.5
AL,"Monroe",67.7,124,2.6,65.1
AL,"Montgomery",66.4,118,2.0,64.4
AL,"Morgan",61.6,107,1.4,60.2
AL,"Perry",65.0,111,1.4,63.6
AL,"Pickens",64.5,106,1.4,63.1
AL,"Pike",66.2,116,1.5,64.7
AL,"Randolph",62.1,114,1.7,60.4
AL,"Russell",65.5,111,1.3,64.2
AL,"St. Clair",63.1,116,1.9,61.2
AL,"Shelby",63.6,112,1.5,62.1
AL,"Sumter",65.7,118,1.6,64.1
AL,"Talladega",63.5,116,1.7,61.8
AL,"Tallapoosa",63.4,110,1.3,62.1
AL,"Tuscaloosa",64.2,101,1.2,63
AL,"Walker",63.0,109,1.4,61.6
AL,"Washington",67.1,117,1.8,65.3
AL,"Wilcox",66.8,121,2.1,64.7
AL,"Winston",61.2,96,1.0,60.2
AZ,"Apache",52.7,124,2.9,49.8
AZ,"Cochise",63.4,124,3.1,60.3
AZ,"Coconino",55.1,124,3.4,51.7
AZ,"Gila",62.2,124,3.7,58.5
AZ,"Graham",63.4,124,3.2,60.2
