State,State uppermost rate,Combined uppermost rate,,,,
Alabama,5%,27.4%,,,,
Alaska,0%,25%,,,,
Arizona,4.5%,27.7%,,,,
Arkansas,7%,27.9%,,,,
California,13.3%,33%,,,,
Colorado,4.6%,27.8%,,,,
Connecticut,6.7%,29%,,,,
Delaware,6.6%,29%,,,,
Florida,0%,25%,,,,
Georgia,6%,28.6%,,,,
Hawaii,7.3%,29.4%,,,,
Idaho,7.4%,29.4%,,,,
Illinois,5%,28%,,,,
Indiana,3.4%,27.8%,,,,
Iowa,9%,29.6%,,,,
Kansas,4.8%,27.9%,,,,
Kentucky,6%,28.6%,,,,
Louisiana,6%,27.9%,,,,
Maine,8%,29.8%,,,,
Maryland,5.8%,30.3%,,,,
Massachusetts,5.2%,28.1%,,,,
Michigan,4.4%,27.8%,,,,
Minnesota,9.9%,30.9%,,,,
Mississippi,5%,28%,,,,
Missouri,6%,28.6%,,,,
Montana,6.9%,27.9%,,,,
Nebraska,6.8%,29.1%,,,,
Nevada,0%,25%,,,,
New Hampshire,0%,25%,,,,
New Jersey,9%,30.4%,,,,
New Mexico,4.9%,26.5%,,,,
New York,8.8%,31.5%,,,,
North Carolina,5.8%,28.5%,,,,
North Dakota,3.2%,26.3%,,,,
Ohio,5.4%,28.9%,,,,
Oklahoma,5.3%,28.2%,,,,
Oregon,9.9%,31%,,,,
Pennsylvania,3.1%,26.8%,,,,
Rhode Island,6%,28.6%,,,,
South Carolina,7%,27.3%,,,,
South Dakota,0%,25%,,,,
Tennessee,0%,25%,,,,
Texas,0%,25%,,,,
Utah,5%,28%,,,,
Vermont,9%,30.4%,,,,
Virginia,5.8%,28.5%,,,,
Washington,0%,25%,,,,
West Virginia,6.5%,28.9%,,,,
Wisconsin,7.7%,28.2%,,,,
Wyoming,0%,25%,,,,
