city,population,density (per sq. km)
New York,18713220,10715
Los Angeles,12750807,3276
Chicago,8604203,4574
Miami,6445545,5019
Dallas,5743938,1526
Philadelphia,5649300,4554
Houston,5464251,1399
Atlanta,5449398,1441
Washington,5379184,4457
Boston,4688346,5532
Phoenix,4219697,1253
Seattle,3789215,3469
San Francisco,3592294,7256
Detroit,3506126,1864
San Diego,3220118,1686
Minneapolis,2977172,3071
Tampa,2908063,1353
Denver,2876625,1831
Brooklyn,2559903,14221
Queens,2230722,7885
Riverside,2107852,1574
Baltimore,2106068,2830
Las Vegas,2104198,1773
Portland,2074775,1894
San Antonio,2049293,1231
St. Louis,2024074,1879
Sacramento,1898019,2029
Orlando,1822394,1003
San Jose,1798103,2218
Cleveland,1710093,1893
Pittsburgh,1703266,2093
Austin,1687311,1181
Cincinnati,1662691,1507
Kansas City,1636715,607
Manhattan,1628706,27545
Indianapolis,1588961,935
Columbus,1562009,1582
Charlotte,1512923,1113
Virginia Beach,1478868,709
Bronx,1418207,12862
Milwaukee,1365787,2369
Providence,1203230,3773
Jacksonville,1181496,470
Salt Lake City,1098526,699
Nashville,1081903,544
Richmond,1075798,1484
Memphis,1066967,792
Raleigh,1038738,1254
New Orleans,1020886,889
Louisville,1005654,905
Oklahoma City,972943,417
Bridgeport,924449,3470
Buffalo,914341,2441
Fort Worth,909585,1016
Hartford,905152,2712
Tucson,888486,889
Omaha,847819,1309
El Paso,843386,1022
Honolulu,820987,2200
McAllen,804114,841
Albuquerque,761195,1155
Birmingham,739573,553
Sarasota,722243,1528
Dayton,718353,978
Rochester,703952,2220
Fresno,703498,1789
Allentown,683794,2672
Tulsa,671033,784
Cape Coral,668382,708
Concord,652308,1633
Colorado Springs,642413,946
Charleston,628377,480
Springfield,623401,1860
Grand Rapids,609314,1734
Mission Viejo,590249,2058
Albany,586383,1740
Knoxville,586048,733
Bakersfield,579295,990
Ogden,578523,1230
Baton Rouge,570308,983
Akron,565208,1231
New Haven,564830,2690
Columbia,560041,373
Mesa,518012,1448
Palm Bay,507002,456
Provo,500617,1080
Worcester,498328,1916
Murrieta,496046,1335
Greenville,484465,920
Wichita,482249,931
Toledo,482111,1308
Staten Island,476143,3156
Des Moines,473957,938
Long Beach,462628,3523
Port St. Lucie,461152,653
Denton,457177,567
Madison,447245,1263
Reno,445020,907
Harrisburg,442289,2343
Little Rock,439815,634
Oakland,433031,2991
Durham,424700,959
Winston-Salem,422269,721
Bonita Springs,421291,600
Indio,417059,1066
Palm Coast,417007,364
Chattanooga,415501,493
Spokane,412275,1247
Syracuse,404223,2195
Lancaster,401524,3166
Arlington,398854,1607
Stockton,397264,1941
Poughkeepsie,394760,2290
Augusta,390809,252
Boise,389280,1056
Oxnard,387647,3040
Scranton,384250,1169
Modesto,383134,1933
Kissimmee,382720,1349
Aurora,379289,949
Youngstown,378732,744
Fayetteville,351246,625
Anaheim,350365,2688
Pensacola,346921,903
Victorville,346789,641
Lancaster,343304,645
Greensboro,343090,887
Corpus Christi,342464,789
Fort Wayne,334122,943
Santa Ana,332318,4689
Flint,332190,1103
Fayetteville,327435,552
Jackson,325350,558
Santa Rosa,324634,1605
Lansing,324286,1164
San Juan,323279,3157
Lexington,323152,439
Ann Arbor,322267,1659
Henderson,320189,1165
Huntsville,319249,361
Mobile,315502,522
Fort Collins,312666,1149
Asheville,312507,786
Santa Clarita,312446,1162
St. Paul,308096,2288
Antioch,302419,1466
Lakeland,302284,654
Trenton,290716,4238
Lincoln,289490,1160
Springfield,288090,786
Anchorage,288000,65
Plano,287677,1549
Irvine,287401,1691
Davenport,285362,617
Rockford,282762,873
Newark,282011,4509
South Bend,280498,938
Shreveport,280062,672
Round Lake Beach,279381,2073
Savannah,276295,536
Myrtle Beach,275579,568
Chula Vista,274492,2134
Eugene,273439,1510
Canton,269418,1040
Lubbock,267648,741
Reading,267155,3466
Winter Haven,267069,538
Salem,266804,1382
St. Petersburg,265351,1656
Lafayette,264357,877
Laredo,262491,958
Jersey City,262075,6863
Concord,261801,585
Columbus,261445,349
Chandler,261165,1548
McKinney,258277,1148
Scottsdale,258069,541
Killeen,258009,1073
Tallahassee,257601,747
Peoria,256286,888
Wilmington,255616,929
Montgomery,254634,479
Gilbert,254114,1432
Glendale,252381,1582
North Las Vegas,251974,992
Chesapeake,244835,279
Barnstable,242847,286
Norfolk,242742,1759
Fremont,241110,1201
Kennewick,240735,1186
Garland,239928,1623
Irving,239798,1380
Visalia,237386,1370
Atlantic City,237054,1354
Paradise,235087,1942
Nashua,233917,1118
Arlington,233464,3467
Hialeah,233339,4174
York,233184,3204
Evansville,230427,962
Avondale,227289,750
Brownsville,227239,533
Gulfport,220987,497
Appleton,220570,1156
Bremerton,218400,561
Hickory,218323,536
Tacoma,217827,1690
San Bernardino,215784,1341
College Station,215243,890
Kalamazoo,215193,1192
Thousand Oaks,215029,885
Roanoke,214674,900
Fontana,214547,1923
Moreno Valley,213055,1604
North Port,209070,274
Fargo,208675,967
Green Bay,207557,887
Spring Valley,207127,2404
Amarillo,205603,756
Portland,203969,1185
Santa Barbara,202401,1808
Gainesville,202335,820
Olympia,200915,1119
Frisco,200490,1136
Yonkers,200370,4295
Norwich,200289,533
Glendale,199303,2525
Huntington Beach,199223,2848
Deltona,198361,960
Aurora,197757,1696
Tempe,195805,1891
Overland Park,195494,1003
Grand Prairie,194543,1039
Sunrise Manor,193781,2241
Waco,192315,605
Salinas,190972,2562
Waterbury,189614,1456
Clarksville,188746,618
Cedar Rapids,188038,720
Sioux Falls,187239,907
Huntington,186034,1073
Ontario,185010,1429
Hagerstown,184755,1272
Erie,184484,1926
Vancouver,184463,1461
Nampa,184428,1167
Spartanburg,182701,730
Gastonia,182581,577
Fort Lauderdale,182437,2036
Lorain,180279,1041
Murfreesboro,179951,919
High Point,179913,777
Newport News,179225,1002
Rancho Cucamonga,177603,1709
Hemet,177253,1125
Santa Cruz,176428,1957
Danbury,176030,779
Peoria,175961,386
Oceanside,175742,1644
Elk Grove,174775,1605
Pembroke Pines,173591,2051
Vallejo,173256,1524
Garden Grove,171644,3690
Enterprise,171108,1292
