state,city,county,zipcode,latitude,longitude,major_airport,distance
AK,Sand Point,Aleutians East,99661,55.3227,-160.4834,"Ted Stevens Anchorage International Airport",892.368
AK,Nelson Lagoon,Aleutians East,99571,55.8451,-161.6103,"Ted Stevens Anchorage International Airport",895.6337
AK,Akutan,Aleutians East,99553,54.1594,-165.7328,"Ted Stevens Anchorage International Airport",1212.9061
AK,King Cove,Aleutians East,99612,55.0858,-162.2978,"Ted Stevens Anchorage International Airport",987.0388
AK,Cold Bay,Aleutians East,99571,55.2122,-162.7475,"Ted Stevens Anchorage International Airport",995.9447
AK,False Pass,Aleutians East,99583,54.8416,-163.348,"Ted Stevens Anchorage International Airport",1052.1851
AK,St. Paul,Aleutians West,99660,57.1815,-170.2743,"Ted Stevens Anchorage International Airport",1231.4833
AK,St. George,Aleutians West,99591,56.5791,-169.6114,"Ted Stevens Anchorage International Airport",1231.5568
AK,Nikolski,Aleutians West,99638,53.0133,-168.7536,"Ted Stevens Anchorage International Airport",1442.8047
AK,Atka,Aleutians West,99547,52.2301,-174.2133,"Ted Stevens Anchorage International Airport",1765.4331
AK,Adak,Aleutians West,99546,51.8815,-176.6295,"Ted Stevens Anchorage International Airport",1912.1812
AK,Unalaska,Aleutians West,99692,53.8984,-166.568,"Ted Stevens Anchorage International Airport",1271.6148
AK,Anchorage,Anchorage,99599,61.1508,-149.1091,"Ted Stevens Anchorage International Airport",47.6384
AK,Kasigluk,Bethel,99609,60.8785,-162.5272,"Ted Stevens Anchorage International Airport",674.7381
AK,Nunapitchuk,Bethel,99641,60.8772,-162.4615,"Ted Stevens Anchorage International Airport",671.2404
AK,Bethel,Bethel,99559,60.7928,-161.7917,"Ted Stevens Anchorage International Airport",636.7582
AK,Stony River,Bethel,99557,61.7936,-156.586,"Ted Stevens Anchorage International Airport",356.3759
AK,Mekoryuk,Bethel,99630,60.3704,-166.267,"Ted Stevens Anchorage International Airport",885.6059
AK,Platinum,Bethel,99651,58.978,-161.7185,"Ted Stevens Anchorage International Airport",693.4198
AK,Goodnews Bay,Bethel,99589,59.1271,-161.5754,"Ted Stevens Anchorage International Airport",678.984
AK,Newtok,Bethel,99559,60.9341,-164.6385,"Ted Stevens Anchorage International Airport",786.8085
AK,Crooked Creek,Bethel,99575,61.8439,-158.1082,"Ted Stevens Anchorage International Airport",436.3793
AK,Kwigillingok,Bethel,99622,59.8767,-163.1717,"Ted Stevens Anchorage International Airport",733.8289
