state,city,county,zipcode,latitude,longitude,name,distance
TX,Abilene,Taylor,79699,32.4543,-99.7384,"Pedernales Falls State Park, Johnson City",276.9577
GA,Acworth,Cobb,30144,34.0566,-84.6715,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",12.3289
SC,Aiken,Aiken,29803,33.531,-81.7268,"Lake Wateree State Recreation Area",123.0915
OH,Akron,Summit,44398,41.0798,-81.5219,"Egypt Valley Wildlife Area",112.6189
CA,Alameda,Alameda,94502,37.767,-122.2672,"Yosemite National Park, California",239.9492
GA,Albany,Dougherty,31721,31.5776,-84.1762,"Okefenokee National Wildlife Refuge, Folkston",200.2649
NY,Albany,Albany,12261,42.6664,-73.7987,"Ricketts Glen State Park",253.3025
OR,Albany,Linn,97322,44.6274,-123.0966,"Siuslaw National Forest, Tidewater",65.3955
NM,Albuquerque,Bernalillo,87199,35.1053,-106.6464,"Bandelier National Monument, Los Alamos",79.6138
LA,Alexandria,Rapides,71348,31.2923,-92.4702,"Anahuac National Wildlife Refuge, Anahuac",266.3755
VA,Alexandria,Alexandria,22334,38.8185,-77.0861,"Shenandoah National Park, Shenandoah",105.4395
CA,Alhambra,Los Angeles,91899,34.084,-118.1355,"Topanga State Park, Topanga",41.6197
CA,Aliso Viejo,Orange,92656,33.5792,-117.7289,"Topanga State Park, Topanga",97.7364
TX,Allen,Collin,75013,33.1088,-96.6735,"Little Sandy National Wildlife Refuge, Lindale",142.8865
PA,Allentown,Lehigh,18109,40.5961,-75.4756,"Ricketts Glen State Park",107.2732
GA,Alpharetta,Fulton,30023,34.0704,-84.2739,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",30.0127
FL,Altamonte Springs,Seminole,32716,28.6615,-81.3953,"Lake Eola Park, Orlando",13.1359
PA,Altoona,Blair,16603,40.5082,-78.4007,"Rothrock State Forest, State College",53.8796
TX,Alvin,Brazoria,77583,29.3871,-95.2933,"Anahuac National Wildlife Refuge, Anahuac",85.3899
TX,Amarillo,Potter,79189,35.1988,-101.8311,"Bandelier National Monument, Los Alamos",410.5425
IA,Ames,Story,50014,42.0259,-93.6215,"Eagle Bluffs Conservation Area, Columbia",367.3189
CA,Anaheim,Orange,92899,33.839,-117.8572,"Topanga State Park, Topanga",73.0239
AK,Anchorage,Anchorage,99599,61.1508,-149.1091,"Kenai Fjords National Park, Alaska",129.0065
IN,Anderson,Madison,46018,40.0891,-85.6893,"Grant Park, Chicago",256.5322
SC,Anderson,Anderson,29625,34.5211,-82.6479,"Kings Mountain State Park, Blacksburg",136.8382
IA,Ankeny,Polk,50023,41.7285,-93.6033,"Eagle Bluffs Conservation Area, Columbia",335.2458
MI,Ann Arbor,Washtenaw,48113,42.2755,-83.7312,"Grant Park, Chicago",324.1399
VA,Annandale,Fairfax,22042,38.8324,-77.196,"Shenandoah National Park, Shenandoah",96.2061
MD,Annapolis,Anne Arundel,21411,38.9706,-76.5047,"Shenandoah National Park, Shenandoah",157.7496
AL,Anniston,Calhoun,36207,33.6712,-85.8136,"Ruffner Mountain Nature Center, Birmingham",83.666
CA,Antioch,Contra Costa,94531,37.9789,-121.7958,"Yosemite National Park, California",198.415
AZ,Apache Junction,Pinal,85178,33.3985,-111.5351,"Kartchner Caverns State Park, Benson",206.152
NC,Apex,Wake,27539,35.7239,-78.8728,"Kings Mountain State Park, Blacksburg",233.5478
FL,Apopka,Orange,32768,28.7014,-81.5304,"Lake Eola Park, Orlando",23.2125
CA,Apple Valley,San Bernardino,92308,34.5328,-117.2104,"Topanga State Park, Topanga",135.5788
WI,Appleton,Outagamie,54919,44.2779,-88.3891,"Grant Park, Chicago",274.1979
CA,Arcadia,Los Angeles,91077,34.1342,-118.0373,"Topanga State Park, Topanga",50.8403
TX,Arlington,Tarrant,76096,32.6998,-97.125,"Little Sandy National Wildlife Refuge, Lindale",173.7596
VA,Arlington,Arlington,22246,38.8786,-77.1011,"Shenandoah National Park, Shenandoah",105.1572
IL,Arlington Heights,Cook,60005,42.0955,-87.9825,"Grant Park, Chicago",38.4909
CO,Arvada,Jefferson,80403,39.8321,-105.1511,"William F Hayden Green Mountain Park, Lakewood",14.5267
VA,Ashburn,Loudoun,20189,39.03,-77.4711,"Shenandoah National Park, Shenandoah",80.0129
NC,Asheboro,Randolph,27205,35.7158,-79.8129,"Kings Mountain State Park, Blacksburg",153.3608
NC,Asheville,Buncombe,28816,35.5704,-82.5536,"Mount Mitchell State Park",31.4073
AL,Athens,Limestone,35613,34.7847,-86.951,"Sipsey Wilderness, Mt Hope",67.0545
GA,Athens,Clarke,30683,33.9508,-83.3689,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",111.6512
GA,Atlanta,Fulton,31196,33.7627,-84.4224,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",27.8208
AL,Auburn,Lee,36849,32.6087,-85.4899,"Ruffner Mountain Nature Center, Birmingham",154.9945
WA,Auburn,King,98092,47.3039,-122.2108,"Mount Rainier National Park, Washington",59.6995
GA,Augusta,Richmond,30999,33.3645,-82.0708,"Lake Wateree State Recreation Area",158.2828
CO,Aurora,Adams,80247,39.7087,-104.7273,"Cherry Creek State Park, Aurora",11.768
IL,Aurora,Kane,60599,41.7637,-88.2901,"Grant Park, Chicago",56.7747
TX,Austin,Travis,78799,30.3004,-97.7522,"Pedernales Falls State Park, Johnson City",48.5388
AZ,Avondale,Maricopa,85392,33.3858,-112.3236,"Kartchner Caverns State Park, Benson",252.7744
CA,Azusa,Los Angeles,91702,34.1386,-117.9124,"Topanga State Park, Topanga",62.3369
CA,Bakersfield,Kern,93390,35.3529,-119.0359,"Malibu Creek State Park, Calabasas",141.5071
CA,Baldwin Park,Los Angeles,91706,34.0829,-117.9721,"Topanga State Park, Topanga",56.6663
MO,Ballwin,St. Louis,63024,38.5951,-90.55,"Danville Conservation Area, New Florence",88.0997
MD,Baltimore,Baltimore,21298,39.3051,-76.6144,"Shenandoah National Park, Shenandoah",159.8439
LA,Baton Rouge,East Baton Rouge,70898,30.4418,-91.131,"Anahuac National Wildlife Refuge, Anahuac",332.5348
MI,Battle Creek,Calhoun,49037,42.2986,-85.2296,"Grant Park, Chicago",202.9079
MI,Bay City,Bay,48708,43.5903,-83.8886,"Grant Park, Chicago",359.5143
NY,Bay Shore,Suffolk,11706,40.7317,-73.2505,"Ricketts Glen State Park",263.7536
NJ,Bayonne,Hudson,7002,40.6661,-74.1141,"Ricketts Glen State Park",197.3638
TX,Baytown,Harris,77522,29.7586,-94.9669,"Anahuac National Wildlife Refuge, Anahuac",52.6704
SC,Beaufort,Beaufort,29906,32.4597,-80.7235,"Lake Wateree State Recreation Area",213.3874
CA,Beaumont,Riverside,92223,33.9076,-116.9766,"Joshua Tree National Park, California",99.3497
TX,Beaumont,Jefferson,77726,30.0849,-94.1451,"Anahuac National Wildlife Refuge, Anahuac",60.3698
OR,Beaverton,Washington,97225,45.4779,-122.8168,"Mt. Hood National Forest, Oregon",68.9614
MD,Bel Air,Harford,21014,39.5348,-76.346,"Rothrock State Forest, State College",182.3106
CA,Bell Gardens,Los Angeles,90202,33.9663,-118.155,"Topanga State Park, Topanga",42.2636
IL,Belleville,St. Clair,62226,38.5165,-89.99,"Danville Conservation Area, New Florence",137.0686
NE,Bellevue,Sarpy,68157,41.1535,-95.9357,"El Dorado State Park, Kansas",372.2698
WA,Bellevue,King,98015,47.5951,-122.1535,"Mount Rainier National Park, Washington",85.7933
CA,Bellflower,Los Angeles,90707,33.888,-118.1271,"Topanga State Park, Topanga",48.1748
WA,Bellingham,Whatcom,98229,48.7543,-122.4687,"Mount Rainier National Park, Washington",215.6476
OR,Bend,Deschutes,97709,44.0562,-121.3087,"Willamette National Forest, Blue River",62.5726
AR,Benton,Saline,72158,34.5775,-92.5712,"Hot Springs National Park, Hot Springs",43.5888
AR,Bentonville,Benton,72712,36.3546,-94.2306,"Buffalo National River, St Joe",138.4393
CA,Berkeley,Alameda,94720,37.8723,-122.276,"Yosemite National Park, California",240.3039
IL,Berwyn,Cook,60402,41.8433,-87.7909,"Grant Park, Chicago",14.4746
AL,Bessemer,Jefferson,35022,33.3709,-86.9713,"Ruffner Mountain Nature Center, Birmingham",32.2246
MD,Bethesda,Montgomery,20894,38.9866,-77.1188,"Shenandoah National Park, Shenandoah",106.5253
PA,Bethlehem,Northampton,18025,40.6266,-75.3679,"Ricketts Glen State Park",110.7918
MT,Billings,Yellowstone,59117,45.7891,-108.5524,"Yellowstone National Park, Wyoming",219.7178
MS,Biloxi,Harrison,39535,30.4422,-88.9512,"Gulf State Park, Gulf Shores",127.7327
NY,Binghamton,Broome,13905,42.1014,-75.9093,"Ricketts Glen State Park",90.465
AL,Birmingham,Jefferson,35298,33.5277,-86.7987,"Ruffner Mountain Nature Center, Birmingham",9.1818
ND,Bismarck,Burleigh,58507,46.8144,-100.7694,"Fort Berthold Indian Reservation",153.7972
VA,Blacksburg,Montgomery,24111,37.23,-80.4279,"Summit Bechtel Reserve, Glen Jean",97.8381
IL,Bloomington,McLean,61791,40.4757,-88.9703,"Grant Park, Chicago",192.3399
IN,Bloomington,Monroe,47408,39.1637,-86.5257,"Grant Park, Chicago",315.5479
MO,Blue Springs,Jackson,64015,39.0124,-94.2721,"Eagle Bluffs Conservation Area, Columbia",160.2129
FL,Boca Raton,Palm Beach,33499,26.3752,-80.108,"Oleta River State Park, North Miami",50.5672
TX,Boerne,Kendall,78006,29.7844,-98.7289,"Pedernales Falls State Park, Johnson City",73.8064
ID,Boise,Ada,83799,43.6007,-116.2312,"Bridge Creek Wildlife Area, Ukiah",269.218
IL,Bolingbrook,Will,60490,41.6903,-88.1019,"Grant Park, Chicago",44.8615
FL,Bonita Springs,Lee,34135,26.3559,-81.7861,"Myakka State Forest, Englewood",86.1328
WA,Bonney Lake,Pierce,98391,47.1791,-122.17,"Mount Rainier National Park, Washington",47.2672
LA,Bossier City,Bossier,71172,32.5227,-93.6666,"Little Sandy National Wildlife Refuge, Lindale",150.8056
MA,Boston,Suffolk,02467,42.3188,-71.0846,"Odiorne Point State Park, Rye",86.488
WA,Bothell,King,98041,47.7735,-122.2044,"Mount Rainier National Park, Washington",105.6728
CO,Boulder,Boulder,80314,40.0249,-105.2523,"Golden Gate Canyon State Park",26.4116
MD,Bowie,Prince George's,20721,38.9569,-76.7409,"Shenandoah National Park, Shenandoah",137.4098
KY,Bowling Green,Warren,42104,36.9719,-86.4373,"Cades Cove, Great Smoky Mountains National Park, Tennessee",279.8283
FL,Boynton Beach,Palm Beach,33474,26.5281,-80.0811,"Oleta River State Park, North Miami",67.7331
MT,Bozeman,Gallatin,59719,45.6832,-111.0552,"Island Park, Idaho",142.6325
FL,Bradenton,Manatee,34281,27.49,-82.5739,"Myakka State Forest, Englewood",62.5946
FL,Brandon,Hillsborough,33619,27.9367,-82.3,"Myakka State Forest, Englewood",105.4561
MS,Brandon,Rankin,39043,32.2778,-89.9896,"Gulf State Park, Gulf Shores",316.563
WA,Bremerton,Kitsap,98367,47.5436,-122.7122,"Mount Rainier National Park, Washington",104.8034
CA,Brentwood,Contra Costa,94513,37.9355,-121.7191,"Yosemite National Park, California",191.5003
NY,Brentwood,Suffolk,11717,40.7839,-73.2522,"Ricketts Glen State Park",262.0909
TN,Brentwood,Williamson,37027,35.9918,-86.7758,"Sipsey Wilderness, Mt Hope",194.035
CT,Bridgeport,Fairfield,06610,41.1918,-73.1953,"Ricketts Glen State Park",259.1991
CO,Brighton,Adams,80603,39.9716,-104.7964,"Cherry Creek State Park, Aurora",36.9995
CT,Bristol,Hartford,06011,41.6812,-72.9407,"Odiorne Point State Park, Rye",237.502
MA,Brockton,Plymouth,02305,42.0821,-71.0242,"Odiorne Point State Park, Rye",110.3616
OK,Broken Arrow,Tulsa,74014,36.0365,-95.7809,"El Dorado State Park, Kansas",221.1491
NY,Bronx,Bronx,10475,40.8501,-73.8662,"Ricketts Glen State Park",210.2943
NY,Brooklyn,Kings,11239,40.6501,-73.9496,"Ricketts Glen State Park",210.863
FL,Brooksville,Hernando,34603,28.5404,-82.3903,"Lake Eola Park, Orlando",99.3854
CO,Broomfield,Broomfield,80516,39.9541,-105.0527,"William F Hayden Green Mountain Park, Lakewood",29.8474
TX,Brownsville,Cameron,78578,25.998,-97.4565,"Pedernales Falls State Park, Johnson City",485.647
GA,Brunswick,Glynn,31521,31.145,-81.474,"Okefenokee National Wildlife Refuge, Folkston",88.338
TX,Bryan,Brazos,77808,30.6657,-96.3668,"Pedernales Falls State Park, Johnson City",185.5019
AZ,Buckeye,Maricopa,85396,33.4314,-112.6429,"Kartchner Caverns State Park, Benson",278.5788
CA,Buena Park,Orange,90624,33.8572,-118.0046,"Topanga State Park, Topanga",59.798
NY,Buffalo,Erie,14280,42.9016,-78.8487,"Rothrock State Forest, State College",256.8708
GA,Buford,Gwinnett,30519,34.1185,-83.9916,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",56.3936
CA,Burbank,Los Angeles,91526,34.1879,-118.3235,"Topanga State Park, Topanga",26.4656
TX,Burleson,Johnson,76097,32.517,-97.3343,"Little Sandy National Wildlife Refuge, Lindale",193.3033
NC,Burlington,Alamance,27217,36.0758,-79.4686,"Kings Mountain State Park, Blacksburg",199.5988
MN,Burnsville,Dakota,55337,44.7648,-93.2795,"Wisconsin Interstate State Park",86.2849
PA,Butler,Butler,16003,40.8616,-79.8962,"Hillman State Park, Burgettstown",62.2015
ID,Caldwell,Canyon,83607,43.6453,-116.6591,"Bridge Creek Wildlife Area, Ukiah",239.4359
CA,Camarillo,Ventura,93012,34.223,-119.0322,"Malibu Creek State Park, Calabasas",30.6279
MA,Cambridge,Middlesex,02477,42.3759,-71.1185,"Odiorne Point State Park, Rye",81.6161
NJ,Camden,Camden,08105,39.9362,-75.1073,"Ricketts Glen State Park",185.2086
GA,Canton,Cherokee,30114,34.2467,-84.49,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",31.1593
OH,Canton,Stark,44799,40.8075,-81.3677,"Egypt Valley Wildlife Area",79.8837
FL,Cape Coral,Lee,33993,26.6446,-81.9956,"Myakka State Forest, Englewood",47.9059
PA,Carlisle,Cumberland,17013,40.1999,-77.2042,"Rothrock State Forest, State College",78.282
CA,Carlsbad,San Diego,92018,33.1247,-117.2837,"Joshua Tree National Park, California",153.4026
IN,Carmel,Hamilton,46290,39.965,-86.146,"Grant Park, Chicago",246.0645
CA,Carmichael,Sacramento,95841,38.6337,-121.323,"Sand Harbor State Park, Incline Village",135.8155
GA,Carrollton,Carroll,30118,33.5817,-85.0837,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",64.0346
TX,Carrollton,Dallas,75011,32.989,-96.8999,"Little Sandy National Wildlife Refuge, Lindale",158.3312
CA,Carson,Los Angeles,90895,33.8374,-118.2559,"Topanga State Park, Topanga",41.7504
NV,Carson City,Carson City,89714,39.1512,-119.7474,"Sand Harbor State Park, Incline Village",16.6714
GA,Cartersville,Bartow,30121,34.1639,-84.8007,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",29.1749
NC,Cary,Wake,27560,35.782,-78.8191,"Kings Mountain State Park, Blacksburg",240.0093
AZ,Casa Grande,Pinal,85194,32.9068,-111.7624,"Kartchner Caverns State Park, Benson",178.3097
WY,Casper,Natrona,82609,42.842,-106.3207,"Bear Butte State Park, Sturgis",295.3888
CO,Castle Rock,Douglas,80109,39.3763,-104.8535,"Castlewood Canyon State Park, Colorado",12.3153
CA,Castro Valley,Alameda,94578,37.7091,-122.0631,"Yosemite National Park, California",222.5383
