Rank,State,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
2,NY,New York,100,100,100,100,100,100
3,HI,Honolulu,95.92,65.58,81.42,101.64,83.1,76.42
4,CA,San Francisco,93.35,109.35,100.99,93.5,90.85,126.95
5,AK,Anchorage,92.21,37.63,66.13,95.29,75.02,107.68
6,CA,Oakland,89.59,84.14,86.98,94.96,74.55,92.3
7,WA,Seattle,89.48,68.7,79.55,85.59,88.1,121.2
8,MA,Boston,89.29,77.45,83.64,90,90.71,99.43
9,NY,Queens,87.99,75.71,82.12,78.91,87.15,112.09
10,DC,Washington,84.39,76.72,80.72,81.65,81.48,112.51
11,NJ,Jersey City,83.54,62.7,73.58,85.06,70.71,114.87
12,OR,Bend,82.78,40.93,62.79,90.11,72.18,83.64
13,MN,Minneapolis,82.47,43.9,64.04,81.22,78.67,111.91
14,CA,Los Angeles,81.92,74.12,78.19,79.26,89.11,98.51
15,CA,Fremont,81.77,74.04,78.08,80.17,84.16,121.55
16,FL,Fort Lauderdale,81.32,55.84,69.15,90.86,75.33,97.73
17,WI,Milwaukee,80.96,36.07,59.51,87.79,66.61,77.38
18,IL,Chicago,80.38,57.72,69.55,75.85,76.36,106.32
19,SC,Charleston,80.24,50.19,65.89,82.04,74.62,97.35
20,CA,San Diego,80.22,67.85,74.31,80.28,78.7,112.72
21,PA,Pittsburgh,79.69,37.64,59.6,83.01,63.23,100.3
22,OR,Salem,79.66,34.1,57.89,86.59,61.37,84.2
23,MN,St. Paul,79.61,42.58,61.92,79.3,73.95,100.01
24,FL,Tampa,79.53,42.39,61.78,85.48,69.8,104.1
25,CA,Irvine,79.21,69.9,74.76,72.42,79.58,126.46
26,PA,Philadelphia,79.12,47.6,64.06,79.86,68.59,85.04
27,OR,Portland,78.68,48.59,64.3,77.52,70.55,100.7
28,CA,San Jose,78.55,82.92,80.64,74.99,78.75,131.28
29,FL,Miami,78.14,60.17,69.55,75.3,73.89,84.06
