Rank,Location,Total Score,Educational Attainment Rank,Quality of Education & Attainment Gap Rank
1,"Ann Arbor, MI",94.23,1,1
2,"San Jose, CA",81.9,3,4
2,"Sunnyvale, CA",81.9,3,4
2,"Santa Clara, CA",81.9,3,4
3,"Washington, DC",81.7,2,32
3,"Arlington, VA",81.7,2,32
3,"Alexandria, VA",81.7,2,32
4,"Durham, NC",79.72,7,6
4,"Chapel Hill, NC",79.72,7,6
5,"San Francisco, CA",79.48,5,21
5,"Oakland, CA",79.48,5,21
5,"Hayward, CA",79.48,5,21
6,"Madison, WI",78.48,4,72
7,"Boston, MA",76.29,6,97
7,"Cambridge, MA",76.29,6,97
7,"Newton, MA",76.29,6,97
8,"Seattle, WA",73.76,10,16
8,"Tacoma, WA",73.76,10,16
8,"Bellevue, WA",73.76,10,16
9,"Austin, TX",72.94,16,3
9,"Round Rock, TX",72.94,16,3
10,"Bridgeport, CT",71.91,8,146
10,"Stamford, CT",71.91,8,146
10,"Norwalk, CT",71.91,8,146
11,"Colorado Springs, CO",71.22,14,22
12,"Raleigh, NC",70.96,9,136
13,"Provo, UT",70.77,15,42
13,"Orem, UT",70.77,15,42
14,"Denver, CO",69.45,11,76
14,"Aurora, CO",69.45,11,76
14,"Lakewood, CO",69.45,11,76
15,"Trenton, NJ",69.2,13,98
16,"Portland, ME",69.02,17,36
16,"South Portland, ME",69.02,17,36
17,"Tallahassee, FL",68.97,21,8
18,"Portland, OR",67.96,19,52
18,"Vancouver, WA",67.96,19,52
18,"Hillsboro, OR",67.96,19,52
19,"Minneapolis, MN",67.41,12,112
19,"St. Paul, MN",67.41,12,112
19,"Bloomington, MN",67.41,12,112
20,"San Diego, CA",67.15,26,2
20,"Carlsbad, CA",67.15,26,2
21,"Albany, NY",65.14,20,114
21,"Schenectady, NY",65.14,20,114
21,"Troy, NY",65.14,20,114
22,"Baltimore, MD",65.06,18,122
22,"Columbia, MD",65.06,18,122
22,"Towson, MD",65.06,18,122
23,"Lansing, MI",64.74,23,57
23,"East Lansing, MI",64.74,23,57
24,"Hartford, CT",64.2,22,113
24,"West Hartford, CT",64.2,22,113
24,"East Hartford, CT",64.2,22,113
25,"Lexington, KY",64.07,25,25
25,"Fayette, KY",64.07,25,25
26,"New York, NY",63.19,30,19
26,"Newark, NJ",63.19,30,19
26,"Jersey City, NJ",63.19,30,19
27,"Huntsville, AL",63.08,24,69
28,"Atlanta, GA",62.16,29,44
28,"Sandy Springs, GA",62.16,29,44
28,"Roswell, GA",62.16,29,44
29,"Urban Honolulu, HI",61.31,46,9
30,"Chicago, IL",60.99,31,49
30,"Naperville, IL",60.99,31,49
30,"Elgin, IL",60.99,31,49
31,"Santa Rosa, CA",59.99,39,46
32,"Omaha, NE",59.91,35,71
32,"Council Bluffs, IA",59.91,35,71
33,"Kansas City, KS",59.77,28,115
34,"Eugene, OR",59.58,56,11
35,"Philadelphia, PA",59.48,33,88
35,"Camden, NJ",59.48,33,88
35,"Wilmington, DE",59.48,33,88
36,"Virginia Beach, VA",59.43,49,20
36,"Norfolk, VA",59.43,49,20
36,"Newport News, VA",59.43,49,20
37,"Asheville, NC",59.37,41,61
38,"Richmond, VA",59.16,38,68
39,"Pittsburgh, PA",59,44,51
40,"Salt Lake City, UT",58.99,43,56
41,"Rochester, NY",58.56,32,118
42,"St. Louis, IL",58.42,36,121
43,"Spokane, WA",58.2,52,37
43,"Spokane Valley, WA",58.2,52,37
44,"Columbus, OH",58.1,40,110
45,"New Haven, CT",58,37,125
45,"Milford, CT",58,37,125
46,"Manchester, NH",57.98,27,147
46,"Nashua, NH",57.98,27,147
47,"Des Moines, IA",57.96,34,129
47,"West Des Moines, IA",57.96,34,129
48,"Anchorage, AK",57.79,42,90
49,"Albuquerque, NM",57.75,53,40
