city,military_base
New York,FALSE
Los Angeles,FALSE
Chicago,FALSE
Miami,FALSE
Dallas,FALSE
Philadelphia,FALSE
Houston,FALSE
Atlanta,FALSE
Washington,FALSE
Boston,FALSE
Phoenix,FALSE
Seattle,FALSE
San Francisco,FALSE
Detroit,FALSE
San Diego,FALSE
Minneapolis,FALSE
Tampa,FALSE
Denver,FALSE
Brooklyn,FALSE
Queens,FALSE
Riverside,FALSE
Baltimore,FALSE
Las Vegas,FALSE
Portland,FALSE
San Antonio,FALSE
St. Louis,FALSE
Sacramento,FALSE
Orlando,FALSE
San Jose,FALSE
Cleveland,FALSE
Pittsburgh,FALSE
Austin,FALSE
Cincinnati,FALSE
Kansas City,FALSE
Manhattan,FALSE
Indianapolis,FALSE
Columbus,FALSE
Charlotte,FALSE
Virginia Beach,FALSE
Bronx,FALSE
Milwaukee,FALSE
Providence,FALSE
Jacksonville,FALSE
Salt Lake City,FALSE
Nashville,FALSE
Richmond,FALSE
Memphis,FALSE
Raleigh,FALSE
New Orleans,FALSE
Louisville,FALSE
Oklahoma City,FALSE
Bridgeport,FALSE
Buffalo,FALSE
Fort Worth,FALSE
Hartford,FALSE
Tucson,FALSE
Omaha,FALSE
El Paso,FALSE
Honolulu,FALSE
McAllen,FALSE
Albuquerque,FALSE
Birmingham,FALSE
Sarasota,FALSE
Dayton,FALSE
Rochester,FALSE
Fresno,FALSE
Allentown,FALSE
Tulsa,FALSE
Cape Coral,FALSE
Concord,FALSE
Colorado Springs,FALSE
Charleston,FALSE
Springfield,FALSE
Grand Rapids,FALSE
Mission Viejo,FALSE
Albany,FALSE
Knoxville,FALSE
Bakersfield,FALSE
Ogden,FALSE
Baton Rouge,FALSE
Akron,FALSE
New Haven,FALSE
Columbia,FALSE
Mesa,FALSE
Palm Bay,FALSE
Provo,FALSE
Worcester,FALSE
Murrieta,FALSE
Greenville,FALSE
Wichita,FALSE
Toledo,FALSE
Staten Island,FALSE
Des Moines,FALSE
Long Beach,FALSE
Port St. Lucie,FALSE
Denton,FALSE
Madison,FALSE
Reno,FALSE
Harrisburg,FALSE
Little Rock,FALSE
Oakland,FALSE
Durham,FALSE
Winston-Salem,FALSE
Bonita Springs,FALSE
Indio,FALSE
Palm Coast,FALSE
Chattanooga,FALSE
Spokane,FALSE
Syracuse,FALSE
Lancaster,FALSE
Arlington,FALSE
Stockton,FALSE
Poughkeepsie,FALSE
Augusta,FALSE
Boise,FALSE
Oxnard,FALSE
Scranton,FALSE
Modesto,FALSE
Kissimmee,FALSE
Aurora,FALSE
Youngstown,FALSE
Fayetteville,FALSE
Anaheim,FALSE
Pensacola,FALSE
Victorville,FALSE
Lancaster,FALSE
Greensboro,FALSE
Corpus Christi,FALSE
Fort Wayne,FALSE
Santa Ana,FALSE
Flint,FALSE
Fayetteville,FALSE
Jackson,FALSE
Santa Rosa,FALSE
Lansing,FALSE
San Juan,FALSE
Lexington,FALSE
Ann Arbor,FALSE
Henderson,FALSE
Huntsville,FALSE
Mobile,FALSE
Fort Collins,FALSE
Asheville,FALSE
Santa Clarita,FALSE
St. Paul,FALSE
Antioch,FALSE
Lakeland,FALSE
Trenton,FALSE
Lincoln,FALSE
Springfield,FALSE
Anchorage,FALSE
Plano,FALSE
Irvine,FALSE
Davenport,FALSE
Rockford,FALSE
Newark,FALSE
South Bend,FALSE
Shreveport,FALSE
Round Lake Beach,FALSE
Savannah,FALSE
Myrtle Beach,FALSE
Chula Vista,FALSE
Eugene,FALSE
Canton,FALSE
Lubbock,FALSE
Reading,FALSE
Winter Haven,FALSE
Salem,FALSE
St. Petersburg,FALSE
Lafayette,FALSE
Laredo,FALSE
Jersey City,FALSE
Concord,FALSE
Columbus,FALSE
Chandler,FALSE
McKinney,FALSE
Scottsdale,FALSE
Killeen,FALSE
Tallahassee,FALSE
Peoria,FALSE
Wilmington,FALSE
Montgomery,FALSE
Gilbert,FALSE
Glendale,FALSE
North Las Vegas,FALSE
Chesapeake,FALSE
Barnstable,FALSE
Norfolk,FALSE
Fremont,FALSE
Kennewick,FALSE
Garland,FALSE
Irving,FALSE
Visalia,FALSE
Atlantic City,FALSE
Paradise,FALSE
Nashua,FALSE
Arlington,FALSE
Hialeah,FALSE
York,FALSE
Evansville,FALSE
Avondale,FALSE
Brownsville,FALSE
Gulfport,FALSE
Appleton,FALSE
Bremerton,FALSE
Hickory,FALSE
Tacoma,FALSE
San Bernardino,FALSE
College Station,FALSE
Kalamazoo,FALSE
Thousand Oaks,FALSE
Roanoke,FALSE
Fontana,FALSE
Moreno Valley,FALSE
North Port,FALSE
Fargo,FALSE
Green Bay,FALSE
Spring Valley,FALSE
Amarillo,FALSE
Portland,FALSE
Santa Barbara,FALSE
Gainesville,FALSE
Olympia,FALSE
Frisco,FALSE
Yonkers,FALSE
Norwich,FALSE
Glendale,FALSE
Huntington Beach,FALSE
Deltona,FALSE
Aurora,FALSE
Tempe,FALSE
Overland Park,FALSE
Grand Prairie,FALSE
Sunrise Manor,FALSE
Waco,FALSE
Salinas,FALSE
Waterbury,FALSE
Clarksville,FALSE
Cedar Rapids,FALSE
Sioux Falls,FALSE
Huntington,FALSE
Ontario,FALSE
Hagerstown,FALSE
Erie,FALSE
Vancouver,FALSE
Nampa,FALSE
Spartanburg,FALSE
Gastonia,FALSE
Fort Lauderdale,FALSE
Lorain,FALSE
Murfreesboro,FALSE
High Point,FALSE
Newport News,FALSE
Rancho Cucamonga,FALSE
Hemet,FALSE
Santa Cruz,FALSE
Danbury,FALSE
Peoria,FALSE
Oceanside,FALSE
Elk Grove,FALSE
Pembroke Pines,FALSE
Vallejo,FALSE
Garden Grove,FALSE
Enterprise,FALSE
Medford,FALSE
Cary,FALSE
Marysville,FALSE
Corona,FALSE
Ocala,FALSE
Fredericksburg,FALSE
Gainesville,FALSE
Manchester,FALSE
Bayamón,FALSE
Champaign,FALSE
Alexandria,FALSE
Hayward,FALSE
Springfield,FALSE
Lakewood,FALSE
Lafayette,FALSE
Frederick,FALSE
Lake Charles,FALSE
Odessa,FALSE
Tuscaloosa,FALSE
Warner Robins,FALSE
Palmdale,FALSE
Hollywood,FALSE
Midland,FALSE
Leesburg,FALSE
Port Arthur,FALSE
Muskegon,FALSE
Macon,FALSE
Kansas City,FALSE
Sunnyvale,FALSE
Pomona,FALSE
Escondido,FALSE
Pasadena,FALSE
New Bedford,FALSE
Fairfield,FALSE
Naperville,FALSE
Bellevue,FALSE
Binghamton,FALSE
Elkhart,FALSE
Topeka,FALSE
Joliet,FALSE
Beaumont,FALSE
Paterson,FALSE
Merced,FALSE
Pueblo,FALSE
Tyler,FALSE
Torrance,FALSE
Yuma,FALSE
Metairie,FALSE
Surprise,FALSE
Columbia,FALSE
Athens,FALSE
Roseville,FALSE
Thornton,FALSE
Miramar,FALSE
Pasadena,FALSE
Mesquite,FALSE
Olathe,FALSE
Santa Maria,FALSE
Houma,FALSE
Carrollton,FALSE
Grand Junction,FALSE
Charleston,FALSE
Orange,FALSE
Fullerton,FALSE
Greeley,FALSE
Carolina,FALSE
Las Cruces,FALSE
Panama City,FALSE
Harlingen,FALSE
West Valley City,FALSE
Hampton,FALSE
Warren,FALSE
Mauldin,FALSE
Bloomington,FALSE
Coral Springs,FALSE
Round Rock,FALSE
Yakima,FALSE
Sterling Heights,FALSE
Kent,FALSE
Burlington,FALSE
Bellingham,FALSE
Santa Clara,FALSE
Racine,FALSE
Greenville,FALSE
Stamford,FALSE
Elizabeth,FALSE
Johnson City,FALSE
Lynchburg,FALSE
Simi Valley,FALSE
Fort Smith,FALSE
Kenosha,FALSE
Norman,FALSE
South Lyon,FALSE
Boulder,FALSE
Abilene,FALSE
Lehigh Acres,FALSE
Pearland,FALSE
Berkeley,FALSE
Richardson,FALSE
Redding,FALSE
Arvada,FALSE
East Los Angeles,FALSE
St. George,FALSE
Billings,FALSE
Yuba City,FALSE
Rochester,FALSE
Leominster,FALSE
Kingsport,FALSE
Duluth,FALSE
Rock Hill,FALSE
Gilroy,FALSE
Cambridge,FALSE
Sugar Land,FALSE
Texas City,FALSE
Iowa City,FALSE
Saginaw,FALSE
Chico,FALSE
Dover,FALSE
Clearwater,FALSE
Coeur d'Alene,FALSE
Seaside,FALSE
Independence,FALSE
West Jordan,FALSE
Brandon,FALSE
Bloomington,FALSE
El Monte,FALSE
North Charleston,FALSE
Carlsbad,FALSE
St. Cloud,FALSE
Temecula,FALSE
Clovis,FALSE
Meridian,FALSE
The Woodlands,FALSE
Ponce,FALSE
Westminster,FALSE
Costa Mesa,FALSE
Monroe,FALSE
Utica,FALSE
Pompano Beach,FALSE
West Palm Beach,FALSE
Waterloo,FALSE
Everett,FALSE
El Centro,FALSE
Santa Fe,FALSE
Downey,FALSE
Spring Hill,FALSE
Lowell,FALSE
Centennial,FALSE
Elgin,FALSE
Richmond,FALSE
Broken Arrow,FALSE
Miami Gardens,FALSE
Bend,FALSE
Burlington,FALSE
Jurupa Valley,FALSE
Sandy Springs,FALSE
Gresham,FALSE
Lewisville,FALSE
Hillsboro,FALSE
San Buenaventura,FALSE
Jacksonville,FALSE
Pottstown,FALSE
Inglewood,FALSE
League City,FALSE
Eau Claire,FALSE
Turlock,FALSE
Temple,FALSE
Sioux City,FALSE
Salisbury,FALSE
Davie,FALSE
Daly City,FALSE
Highlands Ranch,FALSE
Allen,FALSE
West Covina,FALSE
Sparks,FALSE
Wichita Falls,FALSE
San Mateo,FALSE
Columbia,FALSE
Norwalk,FALSE
Rialto,FALSE
Manteca,FALSE
Arden-Arcade,FALSE
El Cajon,FALSE
Burbank,FALSE
Longmont,FALSE
Renton,FALSE
Vista,FALSE
Logan,FALSE
Prescott Valley,FALSE
Vacaville,FALSE
Edinburg,FALSE
Carmel,FALSE
Spokane Valley,FALSE
San Angelo,FALSE
La Crosse,FALSE
Idaho Falls,FALSE
Holland,FALSE
Charlottesville,FALSE
Longview,FALSE
Tracy,FALSE
Boca Raton,FALSE
Lafayette,FALSE
Lee's Summit,FALSE
Rio Rancho,FALSE
South Fulton,FALSE
Beaverton,FALSE
Lawrence,FALSE
Bismarck,FALSE
Orem,FALSE
Middletown,FALSE
San Tan Valley,FALSE
San Marcos,FALSE
Sandy,FALSE
Federal Way,FALSE
Mandeville,FALSE
Hesperia,FALSE
Brockton,FALSE
Compton,FALSE
Riverview,FALSE
Fishers,FALSE
Sunrise,FALSE
Bowling Green,FALSE
Roswell,FALSE
Menifee,FALSE
Plantation,FALSE
Dover,FALSE
Quincy,FALSE
Portsmouth,FALSE
Chino,FALSE
Lynn,FALSE
Edmond,FALSE
Hanford,FALSE
Dearborn,FALSE
Livonia,FALSE
South Gate,FALSE
Vineland,FALSE
Florence,FALSE
Portsmouth,FALSE
Slidell,FALSE
Lawton,FALSE
Kirkland,FALSE
Missoula,FALSE
Auburn,FALSE
Rapid City,FALSE
Terre Haute,FALSE
Suffolk,FALSE
Blacksburg,FALSE
Mount Pleasant,FALSE
Carson,FALSE
Conroe,FALSE
Alafaya,FALSE
Livermore,FALSE
Westminster,FALSE
Germantown,FALSE
Santa Monica,FALSE
New Braunfels,FALSE
Fall River,FALSE
Albany,FALSE
Miami Beach,FALSE
Norwalk,FALSE
San Leandro,FALSE
O'Fallon,FALSE
Newton,FALSE
Muncie,FALSE
Citrus Heights,FALSE
State College,FALSE
Town 'n' Country,FALSE
Decatur,FALSE
Jackson,FALSE
Fort Myers,FALSE
Goodyear,FALSE
Dalton,FALSE
Bryan,FALSE
Waukegan,FALSE
Hawthorne,FALSE
Anderson,FALSE
Redwood City,FALSE
Hoover,FALSE
Lake Forest,FALSE
Napa,FALSE
Whittier,FALSE
Clifton,FALSE
Largo,FALSE
Bloomington,FALSE
Johns Creek,FALSE
Newport Beach,FALSE
Mission,FALSE
Milpitas,FALSE
Troy,FALSE
Madera,FALSE
Joplin,FALSE
Chino Hills,FALSE
Alhambra,FALSE
Franklin,FALSE
Melbourne,FALSE
Port Huron,FALSE
Springfield,FALSE
Mountain View,FALSE
Zephyrhills,FALSE
St. Augustine,FALSE
Flagstaff,FALSE
Buena Park,FALSE
Pleasanton,FALSE
Silver Spring,FALSE
Atascocita,FALSE
Westland,FALSE
Auburn,FALSE
Cranston,FALSE
Somerville,FALSE
Folsom,FALSE
Springdale,FALSE
Deerfield Beach,FALSE
Warwick,FALSE
Cicero,FALSE
Farmington Hills,FALSE
Newark,FALSE
Williamsburg,FALSE
Brooklyn Park,FALSE
Hattiesburg,FALSE
Alexandria,FALSE
Lawrence,FALSE
Florence,FALSE
Valdosta,FALSE
Plymouth,FALSE
Buckeye,FALSE
Georgetown,FALSE
Cheyenne,FALSE
Cedar Park,FALSE
The Villages,FALSE
Kokomo,FALSE
Tustin,FALSE
Lakewood,FALSE
Perris,FALSE
St. Joseph,FALSE
Flower Mound,FALSE
Pharr,FALSE
Pine Hills,FALSE
Alton,FALSE
Loveland,FALSE
Boynton Beach,FALSE
New Rochelle,FALSE
Anderson,FALSE
Jonesboro,FALSE
Lebanon,FALSE
Parma,FALSE
Layton,FALSE
Elizabethtown,FALSE
Texarkana,FALSE
Alameda,FALSE
Kankakee,FALSE
Watsonville,FALSE
Porterville,FALSE
Baytown,FALSE
Upland,FALSE
Davis,FALSE
Camarillo,FALSE
South Jordan,FALSE
Battle Creek,FALSE
Bellflower,FALSE
San Marcos,FALSE
San Ramon,FALSE
Lake Jackson,FALSE
Bethlehem,FALSE
Wyoming,FALSE
Oshkosh,FALSE
Hammond,FALSE
Waldorf,FALSE
Missouri City,FALSE
Pasco,FALSE
Wheeling,FALSE
Kendall,FALSE
Baldwin Park,FALSE
Rancho Cordova,FALSE
Conway,FALSE
Gary,FALSE
Altoona,FALSE
Lodi,FALSE
Arlington Heights,FALSE
Bolingbrook,FALSE
Rochester Hills,FALSE
Winchester,FALSE
Framingham,FALSE
Hilton Head Island,FALSE
Centreville,FALSE
Union City,FALSE
Owensboro,FALSE
Jackson,FALSE
Cleveland,FALSE
