,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AL-001,Autauga County,71.24,124,17.77,53.47,
AL-003,Baldwin County,64.34,75,2.49,61.85,
AL-005,Barbour County,74.91,125,22.63,52.28,
AL-007,Bibb County,70.43,119,15.28,55.15,
AL-009,Blount County,74.89,122,19.39,55.5,
AL-011,Bullock County,69.21,122,17.17,52.04,
AL-013,Butler County,67.18,110,11.53,55.65,
AL-015,Calhoun County,72.46,124,19.15,53.31,
AL-017,Chambers County,75.21,124,21.94,53.27,
AL-019,Cherokee County,73.19,125,19.69,53.5,
AL-021,Chilton County,74.17,123,20.02,54.15,
AL-023,Choctaw County,67.59,113,10.81,56.78,
AL-025,Clarke County,60.84,83,2.99,57.85,
AL-027,Clay County,80.97,124,25.2,55.77,
AL-029,Cleburne County,73.79,124,19.91,53.88,
AL-031,Coffee County,66.89,106,10.72,56.17,
AL-033,Colbert County,82.19,124,28.69,53.5,
AL-035,Conecuh County,66.92,100,8.96,57.96,
AL-037,Coosa County,80.97,124,26.38,54.59,
AL-039,Covington County,68.18,109,9.59,58.59,
AL-041,Crenshaw County,67.14,114,11.83,55.31,
AL-043,Cullman County,74.94,122,18.92,56.02,
AL-045,Dale County,69.85,114,15.48,54.37,
AL-047,Dallas County,61.62,107,8.87,52.75,
AL-049,DeKalb County,77.62,125,22.21,55.41,
AL-051,Elmore County,73.95,123,20.54,53.41,
AL-053,Escambia County,69.24,100,8.86,60.38,
AL-055,Etowah County,75.51,125,21.13,54.38,
AL-057,Fayette County,78.43,121,22.23,56.2,
AL-059,Franklin County,85.43,124,30.78,54.65,
AL-061,Geneva County,72.79,112,15.62,57.17,
AL-063,Greene County,73.33,124,20.43,52.9,
AL-065,Hale County,69.64,122,15.96,53.68,
AL-067,Henry County,74.17,122,20.86,53.31,
AL-069,Houston County,69.27,115,15.14,54.13,
AL-071,Jackson County,84.14,125,29.44,54.7,
AL-073,Jefferson County,72.54,121,17.06,55.48,
AL-075,Lamar County,80.14,123,25.24,54.9,
AL-077,Lauderdale County,79.44,124,25.5,53.94,
AL-079,Lawrence County,80.48,125,27.12,53.36,
AL-081,Lee County,75.19,123,22.92,52.27,
AL-083,Limestone County,76.17,123,22.49,53.68,
AL-085,Lowndes County,67.15,120,14.84,52.31,
AL-087,Macon County,69.96,122,18.27,51.69,
AL-089,Madison County,79.81,125,25.49,54.32,
AL-091,Marengo County,60.49,98,6.37,54.12,
AL-093,Marion County,86.01,125,30.47,55.54,
AL-095,Marshall County,77.66,125,23.32,54.34,
