state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
AL,Autauga,71.24,124,17.77,53.47
AL,Baldwin,64.34,75,2.49,61.85
AL,Barbour,74.91,125,22.63,52.28
AL,Bibb,70.43,119,15.28,55.15
AL,Blount,74.89,122,19.39,55.5
AL,Bullock,69.21,122,17.17,52.04
AL,Butler,67.18,110,11.53,55.65
AL,Calhoun,72.46,124,19.15,53.31
AL,Chambers,75.21,124,21.94,53.27
AL,Cherokee,73.19,125,19.69,53.5
AL,Chilton,74.17,123,20.02,54.15
AL,Choctaw,67.59,113,10.81,56.78
AL,Clarke,60.84,83,2.99,57.85
AL,Clay,80.97,124,25.2,55.77
AL,Cleburne,73.79,124,19.91,53.88
AL,Coffee,66.89,106,10.72,56.17
AL,Colbert,82.19,124,28.69,53.5
AL,Conecuh,66.92,100,8.96,57.96
AL,Coosa,80.97,124,26.38,54.59
AL,Covington,68.18,109,9.59,58.59
AL,Crenshaw,67.14,114,11.83,55.31
AL,Cullman,74.94,122,18.92,56.02
AL,Dale,69.85,114,15.48,54.37
AL,Dallas,61.62,107,8.87,52.75
AL,DeKalb,77.62,125,22.21,55.41
AL,Elmore,73.95,123,20.54,53.41
AL,Escambia,69.24,100,8.86,60.38
AL,Etowah,75.51,125,21.13,54.38
AL,Fayette,78.43,121,22.23,56.2
AL,Franklin,85.43,124,30.78,54.65
AL,Geneva,72.79,112,15.62,57.17
AL,Greene,73.33,124,20.43,52.9
AL,Hale,69.64,122,15.96,53.68
AL,Henry,74.17,122,20.86,53.31
AL,Houston,69.27,115,15.14,54.13
AL,Jackson,84.14,125,29.44,54.7
AL,Jefferson,72.54,121,17.06,55.48
AL,Lamar,80.14,123,25.24,54.9
AL,Lauderdale,79.44,124,25.5,53.94
AL,Lawrence,80.48,125,27.12,53.36
AL,Lee,75.19,123,22.92,52.27
AL,Limestone,76.17,123,22.49,53.68
AL,Lowndes,67.15,120,14.84,52.31
AL,Macon,69.96,122,18.27,51.69
AL,Madison,79.81,125,25.49,54.32
AL,Marengo,60.49,98,6.37,54.12
AL,Marion,86.01,125,30.47,55.54
AL,Marshall,77.66,125,23.32,54.34
AL,Mobile,58.33,39,-4.11,62.44
AL,Monroe,63.41,93,6.22,57.19
AL,Montgomery,68.49,122,16.41,52.08
AL,Morgan,75.88,125,21.98,53.9
AL,Perry,62.27,110,8.73,53.54
AL,Pickens,78.63,123,25.3,53.33
AL,Pike,67.33,113,12.99,54.34
AL,Randolph,75.16,124,20.54,54.62
AL,Russell,72.68,124,22.84,49.84
AL,St. Clair,75.44,123,20.38,55.06
