Rank,City,Total Score,Home & Community Safety Rank,Natural-Disaster Risk Rank,Financial Safety Rank
1,"Columbia, MD",84.52,4,63,7
2,"South Burlington, VT",83.99,6,36,21
3,"Plano, TX",81.20,3,113,30
4,"Nashua, NH",80.80,10,27,67
5,"Lewiston, ME",80.59,19,12,32
6,"Burlington, VT",80.55,17,37,29
7,"Salem, OR",80.03,11,70,57
8,"Virginia Beach, VA",79.68,9,44,63
9,"Raleigh, NC",79.55,21,55,13
10,"Gilbert, AZ",79.00,29,14,16
11,"Portland, ME",78.92,28,11,34
12,"Warwick, RI",78.79,14,22,104
13,"Chesapeake, VA",78.27,15,69,72
14,"Vancouver, WA",78.09,22,87,38
15,"Fremont, CA",78.00,5,157,27
16,"Bismarck, ND",77.92,54,64,2
17,"Chandler, AZ",77.64,40,8,10
18,"Boise, ID",77.01,58,71,1
19,"Irvine, CA",76.67,1,150,120
20,"Scottsdale, AZ",76.62,45,53,18
21,"Juneau, AK",76.48,69,50,22
22,"Worcester, MA",76.45,32,17,84
23,"Manchester, NH",76.26,41,30,62
24,"Yonkers, NY",76.25,20,39,138
25,"Peoria, AZ",76.19,53,26,28
26,"Winston-Salem, NC",76.17,60,40,59
27,"Pearl City, HI",76.00,2,N/A,12
28,"Durham, NC",75.98,48,42,24
29,"Rochester, NY",75.66,37,4,103
30,"Madison, WI",75.62,52,89,11
31,"Mesa, AZ",75.25,57,18,40
32,"Oceanside, CA",75.12,12,144,87
33,"Cheyenne, WY",75.12,63,97,15
34,"Buffalo, NY",75.07,46,5,90
35,"Chula Vista, CA",74.95,18,132,95
36,"Lincoln, NE",74.63,64,105,3
37,"Fargo, ND",74.46,87,77,8
38,"Newport News, VA",74.44,42,21,110
38,"Cedar Rapids, IA",74.44,50,101,49
40,"Tempe, AZ",74.33,78,9,39
41,"Greensboro, NC",74.30,61,33,68
42,"San Diego, CA",74.29,26,130,79
43,"Brownsville, TX",74.21,71,2,100
44,"Cape Coral, FL",74.18,27,111,135
45,"Casper, WY",74.05,92,20,60
46,"Dover, DE",74.05,74,1,118
47,"Huntington Beach, CA",73.97,8,170,108
48,"Missoula, MT",73.86,55,108,73
49,"Laredo, TX",73.82,84,24,69
50,"Nampa, ID",73.66,107,49,14
51,"Sioux Falls, SD",73.48,82,103,4
52,"Santa Rosa, CA",73.21,24,153,92
53,"Charlotte, NC",73.19,77,57,45
54,"Grand Prairie, TX",73.08,43,112,96
55,"Spokane, WA",72.98,98,19,33
56,"San Jose, CA",72.94,35,169,26
57,"Glendale, AZ",72.79,102,13,55
58,"Santa Clarita, CA",72.76,7,168,165
59,"Grand Rapids, MI",72.65,85,7,85
60,"Fort Wayne, IN",72.64,76,59,89
61,"Norfolk, VA",72.62,39,81,147
62,"Aurora, IL",72.57,38,91,143
63,"Rancho Cucamonga, CA",72.46,25,159,93
64,"Henderson, NV",72.27,49,95,121
65,"Huntington, WV",72.22,88,47,83
66,"Irving, TX",71.99,56,125,86
67,"Bridgeport, CT",71.98,65,16,163
68,"Garden Grove, CA",71.84,13,171,154
69,"Sacramento, CA",71.76,51,119,91
70,"Glendale, CA",71.76,16,151,161
71,"Oxnard, CA",71.63,34,148,116
72,"Omaha, NE",71.41,93,107,17
73,"New Haven, CT",71.40,86,6,144
74,"Fayetteville, NC",71.22,83,51,139
75,"Overland Park, KS",71.10,105,121,6
76,"Salt Lake City, UT",71.06,103,116,9
77,"Anaheim, CA",71.05,23,154,155
78,"Colorado Springs, CO",70.97,79,126,36
79,"Portland, OR",70.65,96,86,71
80,"Arlington, TX",70.58,67,122,101
81,"Des Moines, IA",70.39,73,143,36
82,"Tampa, FL",70.33,70,92,142
83,"Richmond, VA",70.30,89,75,126
84,"Moreno Valley, CA",70.27,33,166,137
85,"Tallahassee, FL",70.23,108,28,115
86,"Corpus Christi, TX",70.17,126,3,76
87,"Billings, MT",70.09,143,58,23
88,"Gulfport, MS",70.09,90,56,167
89,"Santa Ana, CA",70.07,31,167,152
90,"Las Cruces, NM",69.88,114,66,132
91,"Toledo, OH",69.88,91,60,148
92,"Huntsville, AL",69.80,80,142,52
93,"Pembroke Pines, FL",69.77,72,48,173
