State,State Sales Tax Rate,Avg. Local Sales Tax Rate,Combined Sales Tax Rate,Max Local Sales Tax Rate,,
Alabama,4.00%,5.22%,9.22%,7.50%,,
Alaska,0.00%,1.76%,1.76%,7.50%,,
Arizona,5.60%,2.80%,8.40%,5.60%,,
Arkansas,6.50%,3.01%,9.51%,5.125%,,
California,7.25%,1.43%,8.68%,2.50%,,
Colorado,2.90%,4.82%,7.72%,8.30%,,
Connecticut,6.35%,0.00%,6.35%,0.00%,,
Delaware,0.00%,0.00%,0.00%,0.00%,,
D.C.,6.00%,0.00%,6.00%,0.00%,,
Florida,6.00%,1.08%,7.08%,2.50%,,
Georgia,4.00%,3.32%,7.32%,4.90%,,
Hawaii,4.00%,0.44%,4.44%,0.50%,,
Idaho,6.00%,0.03%,6.03%,3.00%,,
Illinois,6.25%,2.57%,8.82%,9.75%,,
Indiana,7.00%,0.00%,7.00%,0.00%,,
Iowa,6.00%,0.94%,6.94%,1.00%,,
Kansas,6.50%,2.19%,8.69%,4.00%,,
Kentucky,6.00%,0.00%,6.00%,0.00%,,
Louisiana,4.45%,5.07%,9.52%,7.00%,,
Maine,5.50%,0.00%,5.50%,0.00%,,
Maryland,6.00%,0.00%,6.00%,0.00%,,
Massachusetts,6.25%,0.00%,6.25%,0.00%,,
Michigan,6.00%,0.00%,6.00%,0.00%,,
Minnesota,6.875%,0.59%,7.46%,2.00%,,
Mississippi,7.00%,0.07%,7.07%,1.00%,,
Missouri,4.225%,4.03%,8.25%,5.763%,,
Montana,0.00%,0.00%,0.00%,0.00%,,
Nebraska,5.50%,1.44%,6.94%,2.50%,,
Nevada,6.85%,1.38%,8.23%,1.53%,,
New Hampshire,0.00%,0.00%,0.00%,0.00%,,
New Jersey,6.625%,-0.03%,6.60%,3.313%,,
New Mexico,5.125%,2.71%,7.83%,4.313%,,
New York,4.00%,4.52%,8.52%,4.875%,,
North Carolina,4.75%,2.23%,6.98%,2.75%,,
North Dakota,5.00%,1.96%,6.96%,3.50%,,
Ohio,5.75%,1.48%,7.23%,2.25%,,
Oklahoma,4.50%,4.45%,8.95%,7.00%,,
Oregon,0.00%,0.00%,0.00%,0.00%,,
Pennsylvania,6.00%,0.34%,6.34%,2.00%,,
Rhode Island,7.00%,0.00%,7.00%,0.00%,,
South Carolina,6.00%,1.46%,7.46%,3.00%,,
South Dakota,4.50%,1.90%,6.40%,4.50%,,
Tennessee,7.00%,2.55%,9.55%,2.75%,,
Texas,6.25%,1.94%,8.19%,2.00%,,
Utah,6.10%,1.09%,7.19%,2.95%,,
Vermont,6.00%,0.24%,6.24%,1.00%,,
Virginia,5.30%,0.43%,5.73%,0.70%,,
Washington,6.50%,2.73%,9.23%,4.00%,,
West Virginia,6.00%,0.50%,6.50%,1.00%,,
Wisconsin,5.00%,0.43%,5.43%,1.75%,,
Wyoming,4.00%,1.33%,5.33%,2.00%,,
